year,city,product_type,farmer_number,total_area,amount
2008,ANTALYA,AYVA,,,1
2008,ANTALYA,BADEM,,,0
2008,ANTALYA,BIBER,,,10
2008,ANTALYA,BIBERIYE,,,266
2008,ANTALYA,BUGDAY,,,5
2008,ANTALYA,DEFNE,,,195
2008,ANTALYA,DOMATES,,,26
2008,ANTALYA,DUT,,,0
2008,ANTALYA,ELMA,,,8
2008,ANTALYA,ERIK,,,1
2008,ANTALYA,FASULYE,,,1
2008,ANTALYA,HIYAR,,,5
2008,ANTALYA,INCIR,,,1
2008,ANTALYA,KABAK,,,0
2008,ANTALYA,KAYISI,,,0
2008,ANTALYA,KEKIK,,,396
2008,ANTALYA,KIRAZ,,,0
2008,ANTALYA,LIMON,,,7
2008,ANTALYA,MANDARIN,,,7
2008,ANTALYA,PATLICAN,,,8
2008,ANTALYA,PIRASA,,,0
2008,ANTALYA,SEFTALI,,,0
2008,ANTALYA,UZUM,,,3
2008,ANTALYA,BOGURTLEN,,,60
2008,ANTALYA,CEVIZ,,,1
2008,ANTALYA,GUL,,,1
2008,ANTALYA,NAR,,,1593
2008,ANTALYA,PORTAKAL,,,119
2008,ANTALYA,SOGAN,,,0
2008,ANTALYA,YULAF,,,1
2008,ANTALYA,ZEYTIN,,,30
2008,ANTALYA,FIG,,,16
2008,ANTALYA,HAYIT,,,101
2008,ANTALYA,ISIRGAN OTU,,,41
2008,ANTALYA,KANTARON,,,1
2008,ANTALYA,KARPUZ,,,7
2008,ANTALYA,KAVUN,,,8
2009,MANISA,BAL KABAGI,2,0.100000001,2
2008,ANTALYA,MERSIN,,,141
2008,ANTALYA,PAPATYA,,,26
2008,ANTALYA,PATATES,,,0
2008,ANTALYA,REZENE,,,1
2008,ANTALYA,ARDIC TOHUMU,,,1
2008,ANTALYA,AT KUYRUGU,,,1
2008,ANTALYA,AYNISEFA,,,1
2008,ANTALYA,BINBIRDELIK OTU,,,6
2008,ANTALYA,BROKOLI,,,2
2008,ANTALYA,EBEGUMECI,,,101
2008,ANTALYA,ENGINAR,,,1
2008,ANTALYA,HATMI,,,1
2008,ANTALYA,IHLAMUR,,,1
2008,ANTALYA,KARABAS OTU,,,1
2008,ANTALYA,KECIBOYNUZU,,,2041
2008,ANTALYA,KUSBURNU,,,1
2009,MERSIN,BAL KABAGI,1,0.100000001,5
2008,ANTALYA,MARUL,,,0
2008,ANTALYA,MENEKSE,,,1
2008,ANTALYA,MURVER,,,8
2008,ANTALYA,NANE,,,1
2008,ANTALYA,OGUL OTU,,,20
2008,ANTALYA,OKALIPTUS,,,1
2008,ANTALYA,PUREN,,,25
2008,ANTALYA,ROKA,,,0
2009,SAKARYA,BAL KABAGI,1,0.050000001,1
2008,ANTALYA,SIGIR KUYRUGU,,,1
2010,AFYONKARAHISAR,BAL KABAGI,,,10
2008,ANTALYA,DAGCAYI,,,9
2008,ANTALYA,GREYFURT,,,1
2010,ANKARA,BAL KABAGI,,,34
2010,AYDIN,BAL KABAGI,,,12
2008,ANTALYA,BAMYA,,,0
2008,ANTALYA,AVOKADO,,,5
2008,ANTALYA,AKDIKEN,,,1
2008,ANTALYA,KARAHAN,,,105
2008,ANTALYA,LAHANA,,,3
2008,ANTALYA,MENENGIC,,,1
2008,ANTALYA,CENNET ELMASI,,,1
2008,ANTALYA,KEREVIZ,,,0
2010,BURSA,BAL KABAGI,,,2
2008,ANTALYA,TERE,,,0
2008,ANTALYA,ADA SOGANI,,,50
2008,ANTALYA,BALLIBABA,,,1
2008,ANTALYA,YOGURT OTU,,,1
2008,ANTALYA,TURP OTU,,,0
2008,ANTALYA,DAG CICEGI,,,1
2010,ESKISEHIR,BAL KABAGI,,,46
2008,ANTALYA,AND CILEGI,,,0
2008,ANTALYA,KUMKAT,,,0
2008,ANTALYA,PEPINO,,,1
2010,ISTANBUL,BAL KABAGI,,,1
2008,ANTALYA,AT KESTANESI,,,1
2008,ANTALYA,TOROS NANESI,,,1
2008,ANTALYA,GEYIK OTU,,,1
2008,ARTVIN,DUT,,,0
2008,ARTVIN,ELMA,,,0
2008,ARTVIN,FINDIK,,,380
2008,ARTVIN,CEVIZ,,,7
2010,IZMIR,BAL KABAGI,,,0
2008,AYDIN,ADACAYI,,,5
2008,AYDIN,ANTEPFISTIGI,,,1
2008,AYDIN,ARMUT,,,3
2008,AYDIN,AYVA,,,3
2008,AYDIN,BADEM,,,3
2008,AYDIN,BIBER,,,62
2008,AYDIN,BIBERIYE,,,0
2008,AYDIN,BUGDAY,,,635
2008,AYDIN,DEFNE,,,10
2008,AYDIN,DOMATES,,,75
2008,AYDIN,DUT,,,3
2008,AYDIN,ELMA,,,4
2008,AYDIN,ERIK,,,62
2008,AYDIN,FASULYE,,,1
2008,AYDIN,FESLEGEN,,,0
2008,AYDIN,FINDIK,,,0
2008,AYDIN,HIYAR,,,1
2008,AYDIN,INCIR,,,6314
2008,AYDIN,KABAK,,,2
2008,AYDIN,KAYISI,,,42
2008,AYDIN,KEKIK,,,25
2008,AYDIN,KESTANE,,,197
2008,AYDIN,KIRAZ,,,826
2008,AYDIN,LIMON,,,12
2008,AYDIN,MANDARIN,,,100
2008,AYDIN,PATLICAN,,,9
2008,AYDIN,SEFTALI,,,10
2008,AYDIN,UZUM,,,255
2008,AYDIN,VISNE,,,1
2008,AYDIN,ARPA,,,26
2008,AYDIN,BOGURTLEN,,,2
2008,AYDIN,CEVIZ,,,14
2010,KOCAELI,BAL KABAGI,,,1
2008,AYDIN,NAR,,,116
2008,AYDIN,PAMUK,,,6356
2008,AYDIN,PORTAKAL,,,31
2008,AYDIN,SOGAN,,,1
2008,AYDIN,ZEYTIN,,,4825
2008,AYDIN,AYCICEGI,,,37
2010,MANISA,BAL KABAGI,,,4
2008,AYDIN,BEZELYE,,,45
2008,AYDIN,ISIRGAN OTU,,,2
2008,AYDIN,KARPUZ,,,7
2008,AYDIN,KAVUN,,,12
2008,AYDIN,KIZILCIK,,,0
2010,MERSIN,BAL KABAGI,,,23
2008,AYDIN,MERSIN,,,5
2008,AYDIN,PAPATYA,,,2
2008,AYDIN,YONCA,,,18
2008,AYDIN,BORULCE,,,0
2010,NEVSEHIR,BAL KABAGI,,,16
2008,AYDIN,IHLAMUR,,,0
2008,AYDIN,KARABAS OTU,,,5
2008,AYDIN,MARUL,,,0
2008,AYDIN,MISIR,,,3192
2008,AYDIN,MUSMULA,,,0
2008,AYDIN,NANE,,,3
2008,AYDIN,PANCAR,,,2
2010,SAKARYA,BAL KABAGI,,,10
2008,AYDIN,SARMASIK,,,20
2008,AYDIN,GREYFURT,,,3
2010,SAMSUN,BAL KABAGI,,,6
2008,AYDIN,IGDE,,,0
2008,AYDIN,PAZI,,,8
2010,YALOVA,BAL KABAGI,,,3
2008,AYDIN,TURUNC,,,2
2008,AYDIN,BAMYA,,,0
2010,ZONGULDAK,BAL KABAGI,,,4
2008,AYDIN,MAHLEP,,,0
2008,AYDIN,KARAHAN,,,20
2008,AYDIN,BERGAMOT,,,0
2008,AYDIN,CENNET ELMASI,,,0
2008,AYDIN,FRAMBUAZ,,,2
2011,AFYONKARAHISAR,BAL KABAGI,,,11
2008,AYDIN,MEYAN KOKU,,,30
2008,AYDIN,SUMAK,,,3
2008,AYDIN,OKSE OTU,,,25
2008,AYDIN,TAVSAN MEMESI,,,25
2008,AYDIN,KAVKAT,,,0
2008,AYDIN,MESE PALAMUTU,,,17
2008,AYDIN,YALANCI KARABIBER,,,0
2011,ANKARA,BAL KABAGI,,,55
2008,AYDIN,ZEYTIN YAPRAGI(DELICE),,,0
2008,AYDIN,AGAC KAVUNU,,,0
2008,AYDIN,KARABIBER,,,0
2008,BALIKESIR,BADEM,,,0
2008,BALIKESIR,BIBER,,,80
2008,BALIKESIR,DOMATES,,,400
2008,BALIKESIR,FASULYE,,,1
2008,BALIKESIR,HASHAS,,,273
2008,BALIKESIR,HIYAR,,,0
2008,BALIKESIR,KABAK,,,0
2008,BALIKESIR,NOHUT,,,43
2008,BALIKESIR,PATLICAN,,,0
2008,BALIKESIR,PIRASA,,,0
2011,AYDIN,BAL KABAGI,,,10
2008,BALIKESIR,ZEYTIN,,,0
2011,BALIKESIR,BAL KABAGI,,,0
2008,BALIKESIR,KARPUZ,,,0
2008,BALIKESIR,KAVUN,,,0
2008,BALIKESIR,ISPANAK,,,0
2011,BURSA,BAL KABAGI,,,3
2008,BALIKESIR,LAHANA,,,0
2008,BARTIN,KESTANE,,,0
2008,BARTIN,BOGURTLEN,,,1
2008,BARTIN,KIZILCIK,,,0
2008,BARTIN,KUSBURNU,,,1
2008,BARTIN,MANTAR,,,2
2008,BARTIN,YABANI ELMA,,,0
2008,BATMAN,BUGDAY,,,533
2008,BATMAN,MERCIMEK,,,803
2008,BAYBURT,BUGDAY,,,79
2008,BAYBURT,ELMA,,,0
2008,BAYBURT,NOHUT,,,34
2008,BAYBURT,ARPA,,,8
2008,BAYBURT,FIG,,,65
2008,BAYBURT,YONCA,,,1944
2008,BAYBURT,CAVDAR,,,35
2008,BAYBURT,KORUNGA,,,107
2008,BAYBURT,CAYIR,,,20
2011,CANAKKALE,BAL KABAGI,,,2
2008,BILECIK,FINDIK,,,0
2008,BILECIK,KIRAZ,,,0
2008,BILECIK,UZUM,,,0
2008,BILECIK,VISNE,,,0
2008,BILECIK,CEVIZ,,,0
2008,BILECIK,NAR,,,264
2008,BILECIK,ZEYTIN,,,0
2008,BILECIK,IHLAMUR,,,0
2008,BILECIK,MESE,,,0
2008,BILECIK,YABANI ARMUT,,,0
2008,BILECIK,YABANI ELMA,,,0
2008,BILECIK,YABANI ERIK,,,0
2008,BINGOL,BUGDAY,,,381
2008,BINGOL,ARPA,,,7
2011,ESKISEHIR,BAL KABAGI,,,17
2008,BITLIS,YABANI ELMA,,,100
2008,BOLU,AYVA,,,1
2008,BOLU,BIBER,,,2
2008,BOLU,BUGDAY,,,10
2008,BOLU,CILEK,,,5
2008,BOLU,DOMATES,,,53
2008,BOLU,ELMA,,,2
2008,BOLU,ERIK,,,0
2008,BOLU,FASULYE,,,2
2008,BOLU,HIYAR,,,3
2008,BOLU,KABAK,,,1
2008,BOLU,KIRAZ,,,2
2008,BOLU,PATLICAN,,,2
2008,BOLU,PIRASA,,,1
2008,BOLU,VISNE,,,1
2008,BOLU,ARPA,,,6
2008,BOLU,CEVIZ,,,0
2008,BOLU,SOGAN,,,14
2011,ISTANBUL,BAL KABAGI,,,5
2008,BOLU,BEZELYE,,,2
2008,BOLU,HAVUC,,,10
2008,BOLU,ISIRGAN OTU,,,0
2008,BOLU,PATATES,,,328
2008,BOLU,REZENE,,,0
2008,BOLU,YONCA,,,10
2008,BOLU,BROKOLI,,,1
2008,BOLU,MARUL,,,5
2008,BOLU,MISIR,,,11
2008,BOLU,NANE,,,0
2008,BOLU,ROKA,,,1
2011,IZMIR,BAL KABAGI,,,61
2008,BOLU,ISPANAK,,,3
2011,KOCAELI,BAL KABAGI,,,2
2011,KONYA,BAL KABAGI,,,0
2008,BOLU,PAZI,,,1
2011,MERSIN,BAL KABAGI,,,18
2008,BOLU,BAMYA,,,1
2008,BOLU,LAHANA,,,1
2008,BOLU,KEREVIZ,,,1
2011,NEVSEHIR,BAL KABAGI,,,7
2008,BOLU,KETEN,,,0
2008,BOLU,TERE,,,1
2008,BOLU,TOMATILLO,,,0
2008,BOLU,BAKLA,,,1
2008,BOLU,LAHANA(BRUKSEL),,,1
2008,BURDUR,ANASON,,,266
2008,BURDUR,BUGDAY,,,0
2008,BURDUR,ELMA,,,0
2008,BURDUR,HASHAS,,,27
2008,BURDUR,MERCIMEK,,,20
2008,BURDUR,NOHUT,,,26
2008,BURDUR,ARPA,,,34
2008,BURDUR,GUL,,,16
2008,BURDUR,YULAF,,,11
2008,BURDUR,FIG,,,29
2008,BURDUR,PATATES,,,0
2008,BURDUR,REZENE,,,923
2008,BURDUR,YONCA,,,2
2008,BURDUR,CEMEN,,,2
2011,SAKARYA,BAL KABAGI,,,6
2008,BURDUR,KISNIS,,,4
2011,ZONGULDAK,BAL KABAGI,,,3
2008,BURSA,ARMUT,,,245
2008,BURSA,AYVA,,,102
2008,BURSA,BADEM,,,16
2008,BURSA,BIBER,,,250
2008,BURSA,BIBERIYE,,,0
2008,BURSA,BUGDAY,,,14
2008,BURSA,CILEK,,,6352
2008,BURSA,DOMATES,,,1239
2008,BURSA,DUT,,,1
2008,BURSA,ELMA,,,1153
2008,BURSA,ERIK,,,644
